"","rowid","source","doi","article","tech.a1","tech.a2","tech.a3","tech.a4","tech.a5","tech.a6","tech.1","tech.2","tech.3","tech.4","tech.5","tech.6","tech.7","tech.8","tech.9","tech.10","tech.11","tech.12","risk.b1","risk.13","risk.14","risk.15","risk.16","risk.17","risk.18","risk.19","risk.20","technical.quality","risk.quality","total.quality","score.source","tech.tier.zero","tech.tier.zero.criteria.failure","risk.tier.zero","risk.tier.zero.criteria.failure","authors","year","genus","species","organism.group","environment","life.stage","invitro.invivo","sex","body.length.cm","body.size.source","max.size.ingest.mm","ingest.size.source","exposure.route","leachate.only","mix","type","negative.control","reference.material","exposure.media","solvent","detergent","media.sal.ppt","media.ph","media.temp","media.temp.min","media.temp.max","exposure.duration.d","treatments","replicates","dosing.frequency","sample.size","dose.particles.mL.nominal","dose.particles.mL.min.nominal","dose.particles.mL.max.nominal","dose.mg.L.nominal","dose.mg.kg.sed.nominal","dose.mg.kg.food.nominal","dose.particles.kg.food.nominal","dose.percent.sed.nominal","dose.particles.m2.nominal","dose.mg.m2.nominal","dose.percent.food.nominal","dose.particles.kg.sed.nominal","chem.add.nominal","chem.add.dose.mg.L.nominal","chem.exp.typ.nominal","dose.particles.mL.measured","dose.mg.L.measured","dose.mg.kg.sed.measured","dose.mg.kg.food.measured","dose.particles.kg.food.measured","dose.particles.kg.food.min.measured","dose.particles.kg.food.max.measured","dose.percent.sed.measured","dose.particles.m2.measured","chem.add.dose.mg.L.measured","dose.particles.mL.master","dose.particles.mL.master.converted.reported","dose.mg.L.master","dose.mg.L.master.converted.reported","effect","effect.metric","af.time","acute.chronic","af.noec","direction","stat.clarity","lvl1","lvl2","lvl3","effect.score","bio.org","target.cell.tissue","polymer","density.g.cm3","density.mg.um.3","density.reported.estimated","shape","charge","zetapotential.mV","zetapotential.media","functional.group","size.length.mm.nominal","size.length.min.mm.nominal","size.length.max.mm.nominal","size.length.mm.measured","size.length.min.mm.measured","size.length.max.mm.measured","size.width.mm.nominal","size.width.min.mm.nominal","size.width.max.mm.nominal","size.width.mm.measured","size.width.min.mm.measured","size.width.max.mm.measured","size.height.mm.nominal","size.height.min.mm.nominal","size.height.max.mm.nominal","size.height.mm.measured","size.height.min.mm.measured","size.height.max.mm.measured","csf","csf.calculated.estimated","size.length.um.used.for.conversions","size.width.um.used.for.conversions","particle.surface.area.um2","particle.volume.um3","mass.per.particle.mg","size.category","weather.biofoul","size.valid","size.valid.method","size.valid.media","shape.valid","shape.valid.method","polymer.valid","polymer.valid.method","particle.source","supplier.part","sodium.azide","contaminant.screen","sol.rinse","clean.method","background.plastics","concentration.valid","particle.behavior","uptake.valid","uptake.valid.method","tissue.distribution","fed","curator","effect_f","size_f","shape_f","poly_f","org_f","lvl1_f","lvl2_f","lvl3_f","bio_f","vivo_f","life_f","env_f","species_f","af.time_noNA","acute.chronic_f","tier_zero_tech_f","tier_zero_risk_f","weather.biofoul_f","treatment_range","max.size.ingest.um","exp_type_f","dose.surface.area.um2.mL.master","particle.surface.area.um2.mg","polydispersity","size.length.min.um.used.for.conversions","size.width.min.um.used.for.conversions","size.height.min.um.used.for.conversions","size.length.max.um.used.for.conversions","size.width.max.um.used.for.conversions","size.height.max.um.used.for.conversions","particle.surface.area.um2.min","particle.surface.area.um2.max","particle.volume.um3.min","particle.volume.um3.max","mass.per.particle.mg.min","mass.per.particle.mg.max","dose.um3.mL.master","dose.um2.mL.master","dose.um2.ug.mL.master","environment.noNA","Species","Group"
"25",122,"Rochman","10.1021/es503001d",6,2,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,2,2,2,2,0,2,2,0,0,2,11,10,21,"VDR,JV","Pass",NA,"Pass",NA,"Besseling",2014,"Daphnia","magna","Crustacea","Freshwater","Early","invivo",NA,0.5,"Koelmans 2020",0.11487,"Koelmans 2020","water","N","N","Lab","Y","N","RT medium",NA,"SDS",NA,7.8,21,NA,NA,21,10,12,3,1,NA,NA,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1144843600,"converted",0.22,"reported","N",NA,1,"chronic",NA,NA,"Unclear","fitness","development","abnormality.occurrence",3,"organism",NA,"PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,"COOH",NA,NA,NA,7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.015393804,0.000179594,1.92e-13,1,"N","Y","TEM",NA,"Y","TEM","N",NA,"lab",NA,"N","N","No","Not Cleaned","N","N","aggregates observed via TEM","N",NA,NA,"Y","LTH,EM","No","1nm < 100nm","Sphere","Polystyrene","Crustacea","Fitness","Development","Abnormality Occurrence","Organism","In Vivo","Early","Freshwater","Daphnia magna","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","5-10",114.87,"Particle Only",17623497.9890544,80176062500,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205607.0414984,17623497.9890544,9.1789052026325e+22,"Freshwater","Daphnia magna","Crustacea"
"26",3065,"Koelmans,Jacob","10.1016/j.chemosphere.2018.11.070",98,2,2,2,2,2,2,1,2,1,2,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,11,1,12,"de Ruijter","Pass",NA,"Fail","B1","Wan",2019,"Danio","rerio","Fish","Freshwater","Early","invivo",NA,2.5,"Koelmans 2020",0.4,"Koelmans 2020","water","N","N","Lab","Y","N","filtered dechlorinated water",NA,NA,NA,NA,28,NA,NA,7,2,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.279322,"converted",1,"reported","Y","LOEC",10,"acute",2,"decrease","Clear","metabolism","oxidative.stress","cat.activity",1,"subcell","whole.body","PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA,7853.981634,65449.84695,7e-05,3,"N","N",NA,NA,"Y","SEM","N",NA,"commercial","microspheres.nanospheres,100259-10","N","N","No","Not Cleaned","Y","N","sonicated","Y","confocal microscopy flourescent particles","gut","N","LTH","Yes","1µm < 100µm","Sphere","Polystyrene","Fish","Metabolism","Oxidative Stress","Catalase Activity","Subcell","In Vivo","Early","Freshwater","Danio rerio","10","Acute","Red Criteria Passed","Red Criteria Failed","No","2",400,"Particle Only",112149.532733972,112199737.628571,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,934579.439449768,112149.532733972,1602136181913.89,"Freshwater","Danio rerio","Fish"
"27",947,"Koelmans,Rochman","10.1016/j.envpol.2015.10.010",35,2,2,2,2,2,2,1,0,1,0,1,0,0,0,0,0,0,2,2,2,2,0,0,2,1,1,2,5,10,15,"de Ruijter","Fail","2,4","Pass",NA,"Green",2016,"Cyanobacteria",NA,"Bacterium","Marine","Not Reported","invivo",NA,NA,NA,NA,NA,"sediment","N","N","Mesocosm","Y","N","sediment filtered seawater",NA,NA,NA,NA,NA,1,22,31,3,5,0,NA,NA,NA,NA,NA,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",NA,1,"chronic",NA,NA,"Unclear","fitness","growth","biomass",3,"organism",NA,"PVC",1.34,1.34e-09,"estimated","Not Reported",NA,NA,NA,NA,0.131,0.0087,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,4,"N","N",NA,NA,"N",NA,"N",NA,"N",NA,"unknown","N","No","Not Cleaned","N","N","particles mixed into top layer of sediment","N",NA,NA,NA,"LTH,EM","No","100µm < 1mm","Not Reported","Polyvinylchloride","Bacterium","Fitness","Growth","Biomass","Organism","In Vivo","Not Reported","Marine","Cyanobacteria NA","1","Chronic","Red Criteria Failed","Red Criteria Passed","No","3",NA,"Particle Only",NA,NA,"polydisperse",8.7,6.699,4.48833,478,368.06,246.6002,545.729372027898,1647383.13962772,204.426800028536,33905001.0756978,0.000273931912038239,45.4327014414351,NA,NA,NA,"Marine","Cyanobacteria NA","Bacterium"
"28",2555,"Koelmans","10.3389/fenvs.2019.00033",80,2,2,2,2,2,2,2,0,1,1,1,0,2,2,0,0,2,2,2,2,2,0,0,2,0,1,1,13,8,21,"de Ruijter","Fail","2","Pass",NA,"Revel",2019,"Mytilus",NA,"Mollusca","Marine","Adult","invivo",NA,15,"sealifebase.org",9.51890176843551,NA,"water","N","Y","Lab","Y","N","artificial seawater",NA,NA,30,NA,15,NA,NA,10,3,8,1,4,112,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,"reported",0.1,"reported","N","HONEC",10,"acute",1,NA,"Clear","metabolism","oxidative.stress","cat.mrnaexpression",1,"subcell","gills","PP",0.875,8.75e-10,"estimated","Not Reported",NA,NA,NA,NA,NA,NA,NA,0.204,4e-04,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204,NA,NA,NA,NA,4,"N","Y","coulter.counter",NA,"Y","microscopy","N",NA,"modified",NA,"unknown","N","No","Not Cleaned","Y","N","aeration","Y","kohdigestion FTIR","gills,gut,other tissues","Y","LTH","No","100µm < 1mm","Not Reported","Polypropylene","Mollusca","Metabolism","Oxidative Stress","Catalase mRNA expression","Subcell","In Vivo","Adult","Marine","Mytilus NA","10","Acute","Red Criteria Failed","Red Criteria Passed","No","3",9518.90176843551,"Particle Only",NA,NA,"monodisperse",0.4,0.308,0.20636,950,731.5,490.105,1.15360945335531,6507078.32283232,0.0198682696993428,266164964.585532,1.7384735986925e-08,232.89434401234,NA,NA,NA,"Marine","Mytilus NA","Mollusca"
"29",2797,"Koelmans,Rochman","10.1016/j.envpol.2017.05.048",84,2,2,2,2,2,2,2,1,1,2,2,0,0,0,0,0,1,2,2,2,2,0,0,0,1,0,2,11,7,18,"de Ruijter","Pass",NA,"Pass",NA,"Rist",2017,"Daphnia","magna","Crustacea","Freshwater","Early","invivo",NA,0.5,"Koelmans 2020",0.11487,"Koelmans 2020","water","N","N","Lab","Y","N","elendt m7 medium",NA,NA,NA,NA,20,NA,NA,21,3,10,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136636.5981,"converted",1,"reported","N","HONEC",1,"chronic",1,NA,"Clear","fitness","reproduction","time.to.offspring",4,"organism",NA,"PS",1.05,1.05e-09,"reported","sphere",NA,NA,NA,NA,0.002,NA,NA,0.00237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.37,NA,17.64601178,6.970174651,7.32e-09,3,"N","Y","coulter.counter","elendt.m7.medium","N",NA,"N",NA,"commercial","phosphorex","Y","N","No","Not Cleaned","N","N","Not Evaluated","Y","proteinasek digestion flourescence spectroscopy","whole body","Y","LTH","No","1µm < 100µm","Sphere","Polystyrene","Crustacea","Fitness","Reproduction","Time to Offspring","Organism","In Vivo","Early","Freshwater","Daphnia magna","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","1-3",114.87,"Particle Only",2411091.01965173,2410657346.99453,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,952380.952475495,2411091.01965173,329384019078104576,"Freshwater","Daphnia magna","Crustacea"
"30",2833,"Rochman,Jacob","10.1038/srep03263",85,2,2,2,2,2,2,1,0,1,0,1,1,0,1,0,0,1,2,0,2,2,0,0,0,1,0,1,7,6,14,"LH,SS","Fail","2,4,5","Fail","B1","Rochman",2013,"Oryzias","latipes","Fish","Freshwater","Adult","invivo","F",4,"fishbase.org",2.76939075388703,NA,"food","N","N","Lab","Y","N",NA,NA,NA,NA,7.8,NA,22,25,60,1,3,1,71,NA,NA,NA,0.008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,"reported","Y","LOEC",1,"chronic",2,"increase","Clear","alimentary.excretory","liver.histo","tumor.promotion",1,"tissue","liver","PE",1.01,1.01e-09,"estimated","Not Reported",NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,4,"Y","N",NA,NA,"N",NA,"N",NA,"N",NA,"unknown","Y","No","Not Cleaned","Y","N","Not Evaluated","N",NA,NA,"Y","LTH","Yes","100µm < 1mm","Not Reported","Polyethylene","Fish","Alimentary, Excretory","Liver Histological Abnormalities","Tumor Promotion","Tissue","In Vivo","Adult","Freshwater","Oryzias latipes","1","Chronic","Red Criteria Failed","Red Criteria Failed","Yes","1",2769.39075388703,"Particle Only",NA,NA,"monodisperse",NA,NA,NA,500,385,257.95,NA,1802514.77086768,NA,38805214.2565289,NA,39.1932663990942,NA,NA,NA,"Freshwater","Oryzias latipes","Fish"
"31",4593,"Jacob","10.1016/j.aquatox.2017.11.017",138,2,2,2,2,2,2,2,1,1,2,1,1,0,0,0,0,1,2,2,2,0,0,0,0,0,1,0,11,3,14,"LH,SS","Pass",NA,"Pass",NA,"Pitt",2018,"Danio","rerio","Fish","Freshwater","Early","invivo",NA,2.5,"Koelmans 2020",0.4,"Koelmans 2020","water","N","N","Lab","Y","N","artificial seawater",NA,"SDS",0.065,NA,NA,NA,NA,5,3,3,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"reported",2.3e-11,"converted","N",NA,10,"acute",NA,NA,"Clear","fitness","development","abnormality.occurrence",3,"organism",NA,"PS",1.07,1.07e-09,"estimated","sphere","negative",-21.1,"artificial.seawater.00003%methyleneblue",NA,5.1e-05,NA,NA,3.45e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0345,NA,0.003739281,2.15e-05,2.3e-14,1,"N","Y","dynamic.light.scatter","artificial.seawater.00003%methyleneblue","N",NA,"N",NA,"commercial","bangs.laboratories,FSDG001","Y","N","No","Not Cleaned","N","N","Not Evaluated","Y","flourescence","yolksac,head,pericardium,gallbladder,gitract,pancreas,liver","N","LTH","No","1nm < 100nm","Sphere","Polystyrene","Fish","Fitness","Development","Abnormality Occurrence","Organism","In Vivo","Early","Freshwater","Danio rerio","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3",400,"Particle Only",0.003739281,162577434782.609,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.15e-05,0.003739281,162577434782609,"Freshwater","Danio rerio","Fish"
"32",3720,"Jacob","10.1038/s41598-018-34125-z",115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scoring Not Applicable",NA,"Scoring Not Applicable",NA,"Barboza",2018,"Dicentrarchus","labrax","Fish","Marine","Juvenile","invivo",NA,50,"fishbase.org",29.3094643203386,NA,"water","N","N","Lab","Y","N",NA,NA,NA,34,8.2,18,NA,NA,4,2,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mercury",NA,"co.exp",NA,0.69,NA,NA,NA,NA,NA,NA,NA,"0.016",NA,NA,0.69,"reported","N","HONEC",10,"acute",1,NA,"Unclear","metabolism","oxidative.stress","lipid.perox",1,"subcell","liver","Not Reported",NA,NA,NA,"sphere",NA,NA,NA,NA,NA,0.001,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,28.27433388,14.13716694,NA,3,"N","N",NA,NA,"N",NA,"N",NA,"commercial","cospheric","unknown","N","No","Not Cleaned","N","Y","Not Evaluated","N",NA,NA,"N","LTH,EM","No","1µm < 100µm","Sphere","Not Reported","Fish","Metabolism","Oxidative Stress","Lipid Peroxidation","Subcell","In Vivo","Juvenile","Marine","Dicentrarchus labrax","10","Acute","Scoring Not Applicable","Scoring Not Applicable","No","2",29309.4643203386,"Chemical Co-Exposure",NA,NA,"polydisperse",1,1,1,5,5,5,12.5663706143592,314.159265358979,0.523598775598299,65.4498469497874,NA,NA,NA,NA,NA,"Marine","Dicentrarchus labrax","Fish"
"33",84,"Rochman","10.1021/es302763x",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scoring Not Applicable",NA,"Scoring Not Applicable",NA,"Besseling",2013,"Arenicola","marina","Annelida","Marine","Adult","invivo",NA,15,"WoRMS",9.51890176843551,NA,"sediment","N","N","Lab","Y","N","marine sediment seawater",NA,NA,32,8.2,12.3,NA,NA,28,3,4,0,5,NA,NA,NA,10000,NA,NA,NA,0.74,NA,NA,NA,NA,"pcb",NA,"sorbed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181.6522745,"converted",10000,"reported","Y",NA,1,"chronic",NA,"decrease","Clear","behavioral.sense.neuro","feeding","feeding.activity",2,"organism",NA,"PS",1.07,1.07e-09,"estimated","fragment",NA,NA,NA,NA,NA,0.4,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",850,NA,5209267.68780759,127735893.120394,0.055050233,4,"N","N",NA,NA,"N",NA,"N",NA,"commercial","terhell.plastic.gmbh","unknown","N","No","Not Cleaned","N","N","Not Evaluated","Y","dissection microscopy","gut","Y","LTH,EM","Yes","100µm < 1mm","Fragment","Polystyrene","Annelida","Behavioral, Sensory, Neurological","Feeding","Feeding Activity","Organism","In Vivo","Adult","Marine","Arenicola marina","1","Chronic","Scoring Not Applicable","Scoring Not Applicable","No","3",9518.90176843551,"Chemical Transfer",946275323.969605,94627532.0543619,"polydisperse",400,308,206.36,1300,1001,670.67,1153609.45335531,12184999.8510655,19868269.6993428,682040445.772752,21.2590485782968,729.783276976845,23203515520.6085,946275323.969605,17189306427996.5,"Marine","Arenicola marina","Annelida"
"34",2964,"Koelmans","10.1016/j.scitotenv.2018.06.141",92,2,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,1,2,2,2,0,0,2,0,0,0,0,12,4,16,"de Ruijter","Pass",NA,"Pass",NA,"Sun",2018,"Halomonas","alkaliphila","Bacterium","Marine","Not Reported","invivo",NA,NA,NA,NA,NA,NA,"N","N","Lab","N","N","sterile natural seawater",NA,NA,32,7.8,28,NA,NA,0.083,5,3,1,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2867669102,"converted",320,"reported","Y",NA,10,"acute",NA,"decrease","Clear","fitness","mortality","cell.viability",6,"cell",NA,"PS",1.07,1.07e-09,"estimated","sphere","negative",-5.1,"sterile.natural.seawater",NA,5.5e-05,NA,NA,0.000584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.584,NA,1.071459024,0.104288678,1.12e-10,2,"N","Y","particle.size.analyzer","sterile.natural.seawater","Y","TEM","N",NA,"commercial","sigma,L1148","N","N","No","Not Cleaned","N","N","sonicated","N",NA,NA,NA,"LTH,EM","Yes","100nm < 1µm","Sphere","Polystyrene","Bacterium","Fitness","Mortality","Cell Viability","Cell","In Vivo","Not Reported","Marine","Halomonas alkaliphila","10","Acute","Red Criteria Passed","Red Criteria Passed","No","1-5",NA,"Particle Only",3072589937.18388,9566598428.57143,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299065419.589027,3072589937.18388,2.7433838724856e+22,"Marine","Halomonas alkaliphila","Bacterium"
"35",4300,"Jacob","10.1016/j.envres.2016.07.024",132,2,2,2,2,2,2,2,2,2,1,1,2,0,0,0,1,1,2,0,1,2,0,0,0,0,0,0,14,3,17,"EM,LM","Pass",NA,"Fail","B1","Karami",2016,"Clarias","gariepinus","Fish","Freshwater","Juvenile","invivo",NA,90,"fishbase.org",50.7525570511133,NA,"water","N","N","Lab","Y","N","freshwater","ethanol",NA,NA,6.42,27.7,NA,NA,4,2,5,1,1,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,"reported",0.5,"reported","N","HONEC",10,"acute",1,NA,"Clear","circulatory.respiratory","blood","protein.con",1,"subcell","plasma","PE",0.935,9.35e-10,"estimated","fragment",NA,NA,NA,NA,NA,NA,NA,NA,0.00031,0.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,"estimated",69.155,NA,34481.487681869,68790.2564864373,2.59e-05,3,"N","Y","laser.diffraction",NA,"Y","SEM","Y","raman","commercial","toxemerge","unknown","Y","No","Not Cleaned","Y","Y","air pump","Y","koh disgestion microscopy","gut","Y","LTH","No","1µm < 100µm","Fragment","Polyethylene","Fish","Circulatory, Respiratory","Blood","Protein Concentration","Subcell","In Vivo","Juvenile","Freshwater","Clarias gariepinus","10","Acute","Red Criteria Passed","Red Criteria Failed","No","1-2",50752.5570511133,"Particle Only",482740.827546166,1331331570.72853,"monodisperse",0.31,0.2387,0.159929,138,106.26,71.1942,0.692886677921535,137308.365185616,0.00924836910333002,815863.176332676,8.64722511161357e-09,0.762832069871052,963063.590810122,482740.827546166,18638641990199.5,"Freshwater","Clarias gariepinus","Fish"
"36",4089,"Jacob","10.1016/j.scitotenv.2017.01.156",125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scoring Not Applicable",NA,"Scoring Not Applicable",NA,"Chen",2017,"Danio","rerio","Fish","Freshwater","Early","invivo",NA,2.5,"Koelmans 2020",0.4,"Koelmans 2020","water","N","N","Lab","Y","N","artificial freshwater","DMSO",NA,NA,NA,26,NA,NA,3,1,3,1,30,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"ee2",0.002,"co.exp",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.00035",17191905932,"converted",1,"reported","N","HONEC",10,"acute",1,NA,"Clear","metabolism","oxidative.stress","cat.activity",1,"subcell","whole.body","PS",1.07,1.07e-09,"estimated","sphere","negative",-30,"ultra.pure.water",NA,5e-05,NA,NA,4.7e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,NA,0.006939778,5.44e-05,5.8e-14,1,"N","Y","TEM","ultra.pure.water","Y","TEM","N",NA,"commercial","polysciences","unknown","N","No","Not Cleaned","N","N","microscopic observation","Y","naohdigestion flourescence","whole body","N","LTH","No","1nm < 100nm","Sphere","Polystyrene","Fish","Metabolism","Oxidative Stress","Catalase Activity","Subcell","In Vivo","Early","Freshwater","Danio rerio","10","Acute","Scoring Not Applicable","Scoring Not Applicable","No","1",400,"Chemical Co-Exposure",119308010.564963,119651344827.586,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,935239.6827008,119308010.564963,2.05703466491316e+24,"Freshwater","Danio rerio","Fish"
"37",313,"Rochman","10.1016/j.marenvres.2015.06.008",12,2,2,2,2,2,2,2,2,2,1,2,0,0,0,0,0,1,2,2,0,2,0,0,1,0,0,0,12,3,15,"EM,SS","Pass",NA,"Pass",NA,"Canesi",2015,"Mytilus","galloprovincialis","Mollusca","Marine","Adult","invitro",NA,15,"sealifebase.org",9.51890176843551,NA,NA,"N","N","Lab","Y","N","artificial seawater",NA,NA,36,8,16,NA,NA,0.02,3,3,0,3,7.31e+10,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.31e+10,"reported",5,"reported","Y","LOEC",10,"acute",2,"decrease","Clear","metabolism","oxidative.stress","lysosomal.membrane.stab",1,"subcell","haemocytes","PS",1.07,1.07e-09,"estimated","sphere","positive",14.2,"artificial.seawater","NH2",5e-04,NA,NA,0.00057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,1.020703453,0.096966828,1.04e-10,2,"N","Y","TEM","artificial.seawater","Y","TEM","N",NA,"commercial","bangs.laboratories","unknown","N","No","Not Cleaned","N","N","Not Evaluated","N",NA,NA,NA,"LTH","Yes","100nm < 1µm","Sphere","Polystyrene","Mollusca","Metabolism","Oxidative Stress","Lysosomal Membrane Stability","Subcell","In Vitro","Adult","Marine","Mytilus galloprovincialis","10","Acute","Red Criteria Passed","Red Criteria Passed","No","3",9518.90176843551,"Particle Only",74613422414.3,9814456278.84616,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7088275126.8,74613422414.3,7.17436753983654e+23,"Marine","Mytilus galloprovincialis","Mollusca"
"38",5427,"Workshop","10.1016/j.envpol.2019.113024",159,2,2,2,2,2,2,1,2,1,1,2,0,1,0,2,1,2,2,2,2,2,0,0,2,0,0,1,15,7,22,"EM,LH","Pass",NA,"Pass",NA,"Wang",2019,"Oryzias","melastigma","Fish","Marine","Adult","invivo","M",4,"fishbase.org",2.76939075388703,NA,"water","N","N","Lab","Y","N","seawater",NA,NA,NA,NA,27,NA,NA,60,3,3,0,20,NA,NA,NA,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Particle Only",5.5013,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5013,"reported",0.02,"reported","Y","LOEC",1,"chronic",2,"decrease","Clear","metabolism","oxidative.stress","gsh-px.activity",1,"subcell","intestines","PS",1.07,1.07e-09,"estimated","sphere",NA,NA,NA,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,314.1592654,523.5987756,5.6e-07,3,"N","N",NA,NA,"Y","microscopy","N",NA,"commercial","baseline.cromtech","unknown","N","No","Not Cleaned","N","Y","sonicated","Y","dissection h2o2 digestion microscopy","liver,gills,gut","Y","SK,LTH","Yes","1µm < 100µm","Sphere","Polystyrene","Fish","Metabolism","Oxidative Stress","Glutathione Peroxidase Activity","Subcell","In Vivo","Adult","Marine","Oryzias melastigma","1","Chronic","Red Criteria Passed","Red Criteria Passed","No","3",2769.39075388703,"Particle Only",1728.28436674502,560998688.214286,"monodisperse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880.47394420828,1728.28436674502,3086222083473.25,"Marine","Oryzias melastigma","Fish"
