source,doi,article,authors,year,genus,species,organism.group,life.stage,invitro.invivo,exposure.route,leachate.only,fed,polymer,mix,functional.group,shape,size.category,size.mm,size.min.mm,size.max.mm,type,environment,negative.control,positive.control,dose.particles.mL,dose.particles.mL.min,dose.particles.mL.max,dose.mg.L,dose.mg.kg.sed,dose.mg.kg.food,dose.particles.kg.food,dose.particles.kg.food.min,dose.particles.kg.food.max,dose.percent.sed,dose.particles.m2,dose.mg.m2,dose.percent.food,dose.particles.kg.sed,chem.add,chem.add.dose.mg.L,chem.exp.typ,exposure.duration.d,effect,lvl1,lvl2,lvl3,target.cell.tissue,bio.org,stat.clarity,treatments,replicates,size.valid,shape.valid,polymer.valid,source_1,contaminant.screen,sol.rinse,background.plastics,con.valid,homo.mix,exposure.valid,weather.biofoul,log_dose.mg.L,log_dose.particles.mL,effect_f,Conc,Species,Group
"Koelmans,Rochman,Jacob",10.1016/j.scitotenv.2017.10.020,110,VanCauwenberghe,2010,Brachionus,azteca,Annelida,Early,invivo,maternal.transfer,Y,Y,PS,N,NH2,fiber,5,0.000041,0.032,0.02,Lab,Marine,Y,Y,291000000,43000,68000,2500,200000,500,40000,25000000,35000000,28,26800000,1,10,232500000,copper,1.8,sorbed,5,Y,behavioral.sense.neuro,feeding,cyp11.mrnaexpression,gall.bladder,tissue,Unclear,6,5,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,3.39794000867204,8.46389298898591,N,2500,Tetraselmis chuii,Echinoderm
Rochman,10.1016/j.scitotenv.2017.10.021,111,von Moos,2011,Caenorhabditis,calcarifer,Bacterium,Juveniles,invitro,sediment,N,N,PUR,Y,SO3,fragment,1,0.000042,0.038,0.025,Mesocosm,Terrestrial,N,N,1100000000,85000,130000,5000,280000,496000,100000000,25000000,35000000,45,500,5,30,94,ee2,2,co.exp,6,N,circulatory.respiratory,firmicutes,cyp19a2.mrnaexpression,gills,cell,Clear,7,6,N,N,N,N,N,N,N,N,N,N,N,3.69897000433602,9.04139268515823,Y,5000,Thalassiosira pseudonana,Fish
"Rochman,Jacob",10.1016/j.scitotenv.2017.11.103,112,Vroom,2012,Calanus,carassius,Cnidaria,Adult,invivo,water,Y,Y,PVC,n,COOH,sphere,2,0.00005,0.04,0.032,Field,Freshwater,Y,Y,1460000000,170000,270000,10000,300000,1084000,1000000000,25000000,35000000,60,2600,10,70,940,mercury,2.5,sorbed,7,Y,community,gall.bladder.histo,cyp1a.mrnaexpression,gonad,organism,Unclear,10,7,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,4,9.16435285578444,N,10000,Tigriopus fulvus,Insect
Jacob,10.1016/j.scitotenv.2018.03.075,113,Wan,2013,Carassius,carpio,Crustacea,Early,invitro,food,N,N,BIO,N,NH2,cube,3,0.000051,0.062,0.038,Lab,Marine,N,N,11000000000,340000,540000,20000,400000,0.0009,0.000012,25000000,35000000,0.005,2610,0.5,0.01,2350,nickel,3,co.exp,8,N,fitness,gen.metabolism,cyp1a1.mrnaexpression,granulocyte,population,Clear,1,8,N,N,N,lab,N,N,N,N,N,N,N,4.30102999566398,10.0413926851582,Y,20000,Tigriopus japonicus,Mollusca
Koelmans,10.1016/j.scitotenv.2018.03.176,114,Wang,2014,Carcinus,cavernosa,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,EVA,Y,SO3,fiber,4,0.000052,0.063,0.04,Mesocosm,Terrestrial,Y,Y,14600000000,680000,1100000,40000,450000,0.009,0.00002,25000000,35000000,0.02,5200,1,0.1,110000,nonylphenol,3.9,sorbed,9,Y,immune,gill.histo,cyp32.mrnaexpression,haemocytes,subcell,Unclear,2,9,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,4.60205999132796,10.1643528557844,N,40000,Tisochrysis lutea,Nematoda
"Koelmans,Jacob",10.1016/j.scitotenv.2018.06.141,115,Watts,2015,Ceriodaphnia,chuii,Fish,Adult,invitro,sediment,N,N,LTX,n,COOH,fragment,5,0.000053,0.065,0.045,Field,Freshwater,N,N,73100000000,39000000,25000000000,80000,600000,0.099,0.00012,25000000,35000000,0.05,5220,5,0.3,2400000,paraquat,4,co.exp,10,N,metabolism,gonad.histo,cyp450.proteinexpression,haemolymph,tissue,Clear,3,10,N,N,N,commercial,N,N,N,N,N,N,N,4.90308998699194,10.8639173769579,Y,80000,Tripneustes gratilla,Plant
"Koelmans,Rochman",10.1016/j.scitotenv.2018.06.186,116,Weber,2016,Chaetoceros,clausi,Insect,Early,invivo,water,Y,Y,PA,N,NH2,sphere,1,0.000055,0.068,0.05,Lab,Marine,Y,Y,90000000000,78000000,50000000000,100000,1,100,0.00035,25000000,35000000,0.074,156700,10,0.4,9300000,pbde47,5,sorbed,11,Y,microbiome,growth,cytoplasmic.membrane.potential,head,cell,Unclear,4,11,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,5,10.9542425094393,N,100000,Tubifex NA,Rotifera
"Koelmans,Rochman,Jacob",10.1016/j.scitotenv.2019.01.245,117,Wegner,2017,Chironomus,coerulea,Mollusca,Juveniles,invitro,food,N,N,PC,Y,SO3,cube,2,0.00007,0.08,0.063,Mesocosm,Terrestrial,N,N,146000000000,1600000000,100000000000,0.000008,10,300,3333.3333333333,25000000,35000000,0.2,261200,0.5,4,24000000,pcb,8,co.exp,12,N,stress,immune.cells,cytotoxicity,head.kidney.leuk,organism,Clear,5,12,N,N,N,N,N,N,N,N,N,N,N,-5.09691001300806,11.1643528557844,Y,0.000008,Zacco temminckii,(Missing)
Rochman,10.1016/j.scitotenv.2019.04.017,118,Welden.Cowie,2018,Chlamydomas,corneum,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PE,n,COOH,fiber,3,0.0000963,0.09,0.064,Field,Freshwater,Y,Y,291000000000,3100000000,200000000000,0.0001,25,500,40000,25000000,35000000,0.5,365700,1,10,60000000,phenanthrene,10,sorbed,14,Y,alimentary.excretory,immune.other,d.lactate,heart,population,Unclear,6,15,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-4,11.4638929889859,N,0.0001,Abra nitida,Algae
"Rochman,Jacob",10.1016/j.scitotenv.2019.06.359,119,Wright,2019,Chlamydomonas,costatum,Plant,Early,invitro,sediment,N,N,PET,N,NH2,fragment,4,0.0001,0.1,0.075,Lab,Marine,N,N,731000000000,6200000000,400000000000,0.00025,50,496000,100000000,25000000,35000000,0.74,522400,5,30,93000000,pyrene,18.9,co.exp,20,N,behavioral.sense.neuro,intestinal.permeability,dao.activity,hyalinocyte,subcell,Clear,7,20,N,N,N,lab,N,N,N,N,N,N,N,-3.60205999132796,11.8639173769579,Y,0.00025,Acanthochromis polyacanthus,Annelida
Jacob,10.1016/j.watres.2016.10.016,120,Wu,2020,Chlorella,crassirostris,Rotifera,Juveniles,invivo,water,Y,Y,PI,Y,SO3,sphere,5,0.000159,0.125,0.1,Mesocosm,Terrestrial,Y,Y,9300000000000,12000000000,800000000000,0.00055,62.5,1084000,1000000000,25000000,35000000,1,1044800,10,70,232500000,triclosan,28.4,sorbed,21,Y,circulatory.respiratory,kidney.histo,degranulation,jaw,tissue,Unclear,10,24,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-3.25963731050576,12.9684829485539,N,0.00055,Acartia clausi,Bacterium
Koelmans,10.1021/acs.est.5b04099,121,Xu,2008,Clarias,damicornis,Algae,Adult,invitro,food,N,N,PLA,n,COOH,cube,1,0.00018,0.15,0.106,Field,Freshwater,N,N,6390000000000000000,21000,34000,0.0008,125,0.0009,0.000012,25000000,35000000,2,26800000,0.5,0.01,94,bap,0.0002,co.exp,24,N,community,lipid.metabolism,development,kidney,cell,Clear,1,1,N,N,N,commercial,N,N,N,N,N,N,N,-3.09691001300806,18.8055008581584,Y,0.0008,Acipenser transmontanus,Cnidaria
"Koelmans,Jacob",10.1021/acs.est.6b00183,122,Yin,2010,Corbicula,diversicolor,Annelida,Early,invivo,maternal.transfer,Y,Y,PMMA,N,NH2,fiber,2,0.0002,0.18,0.138,Lab,Marine,Y,Y,12780000000000000000,43000,68000,0.001,250,0.009,0.00002,25000000,35000000,3.8,500,1,0.1,940,bpa,0.001,sorbed,28,Y,fitness,liver.histo,dgat.mrnaexpression,kidney.neutrophil,organism,Unclear,2,2,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-3,19.1065308538224,N,0.001,Acropora muricata,Crustacea
"Koelmans,Rochman",10.1021/acs.est.6b01187,123,Yu,2011,Crassostrea,dubia,Bacterium,Juveniles,invitro,sediment,N,N,PP,Y,SO3,fragment,3,0.0004,0.25,0.15,Mesocosm,Terrestrial,N,N,19170000000000000000,85000,130000,0.00139,500,0.099,0.00012,25000000,35000000,5,2600,5,0.3,2350,cefalexin,0.002,co.exp,30,N,immune,liver.kidney.products,digestive.tract.histo,leaf,population,Clear,3,3,N,N,N,N,N,N,N,N,N,N,N,-2.85698519974591,19.2826221128781,Y,0.00139,Amphibalanus amphitrite,Echinoderm
"Koelmans,Rochman,Jacob",10.1021/acs.est.6b01441,124,Zhang,2012,Crepidula,duebeni,Cnidaria,Adult,invivo,water,Y,Y,PS,n,COOH,sphere,4,0.0005,0.42,0.18,Field,Freshwater,Y,Y,0.009,170000,270000,0.0025,1000,100,0.00035,25000000,35000000,7,2610,10,0.4,110000,chromium,0.01,sorbed,31,Y,metabolism,locomotion,dio.rc,liver,subcell,Unclear,4,4,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-2.60205999132796,-2.04575749056068,N,0.0025,Arenicola marina,Fish
Rochman,10.1021/acs.est.7b03574,125,Zhao,2013,Cyanobacteria,edulis,Crustacea,Early,invitro,food,N,N,PUR,N,NH2,cube,5,0.001,1,0.212,Lab,Marine,N,N,0.01,340000,540000,0.00396,1250,300,3333.3333333333,25000000,35000000,7.4,5200,0.5,4,2400000,copper,0.016,co.exp,35,N,microbiome,mortality,distance.between.fish,mantle,tissue,Clear,5,5,N,N,N,lab,N,N,N,N,N,N,N,-2.40230481407449,-2,Y,0.00396,Artemia franciscana ,Insect
"Rochman,Jacob",10.1021/acs.est.7b03732,126,Ziajahromi,2014,Cyprinodon,elegans,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PVC,Y,SO3,fiber,1,0.0016,3,0.25,Mesocosm,Terrestrial,Y,Y,0.0203,680000,1100000,0.005,2500,500,40000,25000000,35000000,28,5220,1,10,9300000,ee2,0.02,sorbed,36,Y,stress,nervous.system,distance.during.feeding,muscle,cell,Unclear,6,6,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-2.30102999566398,-1.69250396208679,N,0.005,Artemia parthenogenetica,Mollusca
Jacob,10.1021/acs.est.7b05367,127,Aljaibachi.Callaghan,2015,Cyprinus,emarginata,Fish,Adult,invitro,sediment,N,N,BIO,n,COOH,fragment,2,0.002,0,0.3,Field,Freshwater,N,N,0.1,39000000,25000000000,0.0055,5000,496000,100000000,25000000,35000000,45,156700,5,30,24000000,mercury,0.020225,co.exp,39,N,alimentary.excretory,oxidative.stress,diversity,plasma,organism,Clear,7,7,N,N,N,commercial,N,N,N,N,N,N,N,-2.25963731050576,-1,Y,0.0055,Asellus aquaticus,Nematoda
Koelmans,10.1021/acs.est.8b00168,128,Asmonaite,2016,Danio,faveolata,Insect,Early,invivo,water,Y,Y,EVA,N,NH2,sphere,3,0.0025,0.00031,0.31,Lab,Marine,Y,Y,0.25,78000000,50000000000,0.008,10000,1084000,1000000000,25000000,35000000,60,261200,10,70,60000000,nickel,0.04,sorbed,42,Y,behavioral.sense.neuro,photosynthesis,dlac.activity,root,population,Unclear,10,8,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-2.09691001300806,-0.602059991327962,N,0.008,Atactodea striata,Plant
"Koelmans,Jacob",10.1021/acs.est.8b04848,129,Au,2017,Daphnia,finmarchicus,Mollusca,Juveniles,invitro,food,N,N,LTX,Y,SO3,cube,4,0.0026,0.0004,0.3107,Mesocosm,Terrestrial,N,N,0.27,1600000000,100000000000,0.01,20000,0.0009,0.000012,25000000,35000000,0.005,365700,0.5,0.01,93000000,nonylphenol,0.08,co.exp,44,N,circulatory.respiratory,proteobacteria,dna.damage,serum,subcell,Clear,1,9,N,N,N,N,N,N,N,N,N,N,N,-2,-0.568636235841013,Y,0.01,Barbodes gonionotus,Rotifera
"Koelmans,Rochman",10.1021/acs.est.8b04849,130,Avio,2018,Diatoms,flos-aquae,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PA,n,COOH,fiber,5,0.003,0.001,0.316,Field,Freshwater,Y,Y,0.35,3100000000,200000000000,0.0111,50000,0.009,0.00002,25000000,35000000,0.02,522400,1,0.1,232500000,paraquat,0.1,sorbed,45,Y,community,reproduction,dopamine.con,whole.body,tissue,Unclear,2,10,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.95467702121334,-0.455931955649724,N,0.0111,Bathygobius krefftii,(Missing)
"Koelmans,Rochman,Jacob",10.1021/acs.est.9b02525,131,Barboza,2019,Dicentrachus,fluminea,Plant,Early,invitro,sediment,N,N,PC,N,NH2,fragment,1,0.0035,0.0014,0.35,Lab,Marine,N,N,0.5,6200000000,400000000000,0.0184,70000,0.099,0.00012,25000000,35000000,0.05,1044800,5,0.3,94,pbde47,0.126,co.exp,47,N,fitness,respiration,egg.size,blood,cell,Clear,3,11,N,N,N,lab,N,N,N,N,N,N,N,-1.73518217699046,-0.301029995663981,Y,0.0184,Brachionus koreanus,Algae
Rochman,10.1021/es302332w,132,Batel,2020,Dicentrarchus,fossarum,Rotifera,Juveniles,invivo,water,Y,Y,PE,Y,SO3,sphere,2,0.004,0.002,0.3545,Mesocosm,Terrestrial,Y,Y,0.54,12000000000,800000000000,0.02,100000,100,0.00035,25000000,35000000,0.074,26800000,10,0.4,940,pcb,0.16,sorbed,48,Y,immune,sexhormones,embryotoxicity,brain,organism,Unclear,4,12,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.69897000433602,-0.267606240177031,N,0.02,Brachionus plicatilis,Annelida
"Rochman,Jacob",10.1021/es302763x,133,Beiras,2008,Dreissena,franciscana ,Algae,Adult,invitro,food,N,N,PET,n,COOH,cube,3,0.005,0.0025,0.35856,Field,Freshwater,N,N,0.68,21000,34000,0.023,200000,300,3333.3333333333,25000000,35000000,0.2,500,0.5,4,2350,phenanthrene,0.2,co.exp,50,N,metabolism,shoaling,emergence,coelomocytes,population,Clear,5,15,N,N,N,commercial,N,N,N,N,N,N,N,-1.63827216398241,-0.167491087293764,Y,0.023,Caenorhabditis elegans,Bacterium
Jacob,10.1021/es401932b,134,Bejgarn,2010,Dunaliella,fulvus,Annelida,Early,invivo,maternal.transfer,Y,Y,PI,N,NH2,fiber,4,0.006,0.004,0.4,Lab,Marine,Y,Y,0.73,43000,68000,0.025,280000,500,40000,25000000,35000000,0.5,2600,1,10,110000,pyrene,0.252,sorbed,56,Y,microbiome,stress,endopeptidase.activity,digestive.tract,subcell,Unclear,6,20,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.60205999132796,-0.136677139879544,N,0.025,Calanus finmarchicus,Cnidaria
Koelmans,10.1021/es501385y,135,Bergami,2011,Echinogammarus,galeata,Bacterium,Juveniles,invitro,sediment,N,N,PLA,Y,SO3,fragment,5,0.008,0.00464,0.41,Mesocosm,Terrestrial,N,N,0.8,85000,130000,0.03125,300000,496000,100000000,25000000,35000000,0.74,2610,5,30,2400000,triclosan,0.32,co.exp,60,N,stress,vision.system,energy.balance,embryo,tissue,Clear,7,24,N,N,N,N,N,N,N,N,N,N,N,-1.50514997831991,-0.0969100130080564,Y,0.03125,Calanus helgolandicus,Crustacea
"Koelmans,Jacob",10.1021/es502569w,136,Besseling,2012,Eisenia,galloprovincialis,Cnidaria,Adult,invivo,water,Y,Y,PMMA,n,COOH,sphere,1,0.0096,0.005,0.478,Field,Freshwater,Y,Y,1,170000,270000,0.032,400000,1084000,1000000000,25000000,35000000,1,5200,10,70,9300000,bap,0.4,sorbed,61,Y,alimentary.excretory,abundance,energy.reserves,gall.bladder,cell,Unclear,10,1,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.49485002168009,0,N,0.032,Carassius auratus,Echinoderm
"Koelmans,Rochman",10.1021/es503001d,137,Bhattacharya,2013,Ennucula,gariepinus,Crustacea,Early,invitro,food,N,N,PP,N,NH2,cube,2,0.01,0.006,0.5,Lab,Marine,N,N,1.1,340000,540000,0.0396,450000,0.0009,0.000012,25000000,35000000,2,5220,0.5,0.01,24000000,bpa,0.64,co.exp,69,N,behavioral.sense.neuro,actinobacteria,ep.mrnaexpression,gills,organism,Clear,1,2,N,N,N,lab,N,N,N,N,N,N,N,-1.40230481407449,0.0413926851582251,Y,0.0396,Carassius carassius,Fish
"Koelmans,Rochman,Jacob",10.1021/es504525u,138,Blarer.BurkhardtHom,2014,Eriocheir,gigas,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PS,Y,SO3,fiber,3,0.015,0.00656,0.516,Mesocosm,Terrestrial,Y,Y,1.4,680000,1100000,0.04,600000,0.009,0.00002,25000000,35000000,3.8,156700,1,0.1,60000000,cefalexin,1,sorbed,72,Y,circulatory.respiratory,aggressivity,era.mrnaexpression,gonad,population,Unclear,2,3,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.39794000867204,0.146128035678238,N,0.04,Carcinus maenas,Insect
Rochman,10.1021/es5053655,139,Bour,2015,Gammarus,gonionotus,Fish,Adult,invitro,sediment,N,N,PUR,n,COOH,fragment,4,0.02,0.008,0.5361,Field,Freshwater,N,N,2.1,39000000,25000000000,0.046,1,0.099,0.00012,25000000,35000000,5,261200,5,0.3,93000000,chromium,1.3,co.exp,78,N,community,ammonia.excretion,erb.mrnaexpression,granulocyte,subcell,Clear,3,4,N,N,N,commercial,N,N,N,N,N,N,N,-1.33724216831843,0.322219294733919,Y,0.046,Ceriodaphnia dubia,Mollusca
"Rochman,Jacob",10.1021/es800249a,140,Browne,2016,Halomonas,gratilla,Insect,Early,invivo,water,Y,Y,PVC,N,NH2,sphere,5,0.0228,0.0087,0.6,Lab,Marine,Y,Y,4,78000000,50000000000,0.05,10,100,0.00035,25000000,35000000,7,365700,10,0.4,232500000,copper,1.8,sorbed,90,Y,fitness,bacteriodetes,erk.mrnaexpression,haemocytes,tissue,Unclear,4,5,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1.30102999566398,0.602059991327962,N,0.05,Chaetoceros neogracile,Nematoda
Jacob,10.1021/jp1054759,141,Bruck.Ford,2017,Hediste,helgolandicus,Mollusca,Juveniles,invitro,food,N,N,BIO,Y,SO3,cube,1,0.0234,0.01,0.6016,Mesocosm,Terrestrial,N,N,4.2,1600000000,100000000000,0.055,25,300,3333.3333333333,25000000,35000000,7.4,522400,0.5,4,94,ee2,2,co.exp,95,N,immune,blood,erod.activity,haemolymph,cell,Clear,5,6,N,N,N,N,N,N,N,N,N,N,N,-1.25963731050576,0.6232492903979,Y,0.055,Chironomus riparius,Plant
Koelmans,10.1038/s41598-017-10813-0,142,Canesi,2018,Heliopora,japonicus,Nematoda,Adult,invivo,maternal.transfer,Y,Y,EVA,n,COOH,fiber,2,0.025,0.011,0.704,Field,Freshwater,Y,Y,4.3,3100000000,200000000000,0.0625,50,500,40000,25000000,35000000,28,1044800,1,10,940,mercury,2.5,sorbed,114,Y,metabolism,body.condition,esr2.mrnaexpression,head,organism,Unclear,6,7,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-1.20411998265592,0.633468455579587,N,0.0625,Chlamydomas reinhardtii,Rotifera
"Koelmans,Jacob",10.1038/s41598-017-12299-2,143,Caniff.Hoang,2019,Heterocapsa,koreanus,Plant,Early,invitro,sediment,N,N,LTX,N,NH2,fragment,3,0.028,0.01148,0.707,Lab,Marine,N,N,7,6200000000,400000000000,0.08,62.5,496000,100000000,25000000,35000000,45,26800000,5,30,2350,nickel,3,co.exp,168,N,microbiome,boldness,esterase.activity,head.kidney.leuk,population,Clear,7,8,N,N,N,lab,N,N,N,N,N,N,N,-1.09691001300806,0.845098040014257,Y,0.08,Chlamydomonas reinhardtii,(Missing)
"Koelmans,Rochman",10.1038/s41598-017-18849-y,144,Capolupo,2020,Hyalella,krefftii,Rotifera,Juveniles,invivo,water,Y,Y,PA,Y,SO3,sphere,4,0.03,0.012,0.95,Mesocosm,Terrestrial,Y,Y,7.3,12000000000,800000000000,0.083,125,1084000,1000000000,25000000,35000000,60,500,10,70,110000,nonylphenol,3.9,sorbed,450,Y,stress,brain.histo,eto.abs,heart,subcell,Unclear,10,9,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-1.08092190762393,0.863322860120456,N,0.083,Chlorella NA,Algae
"Koelmans,Rochman,Jacob",10.1038/s41598-018-33683-6,145,Caruso,2008,Hydra,labrax,Algae,Adult,invitro,food,N,N,PC,n,COOH,cube,5,0.0327,0.014,1,Field,Freshwater,N,N,7.844,21000,34000,0.092,250,0.0009,0.000012,25000000,35000000,0.005,2600,0.5,0.01,2400000,paraquat,4,co.exp,0.02,N,alimentary.excretory,burrowing,eto.rc,hyalinocyte,tissue,Clear,1,10,N,N,N,commercial,N,N,N,N,N,N,N,-1.03621217265444,0.894537584995746,Y,0.092,Chlorella pyrenoidosa,Annelida
Rochman,10.1038/s41598-018-34125-z,146,Cedervall,2010,Idotea,latipes,Annelida,Early,invivo,maternal.transfer,Y,Y,PE,N,NH2,fiber,1,0.034,0.015,1.175,Lab,Marine,Y,Y,8.4,43000,68000,0.1,500,0.009,0.00002,25000000,35000000,0.02,2610,1,0.1,9300000,pbde47,5,sorbed,0.03,Y,behavioral.sense.neuro,carb.metabolism,exopeptidase.activity,jaw,cell,Unclear,2,11,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-1,0.924279286061882,N,0.1,Chlorella vulgaris,Bacterium
"Rochman,Jacob",10.1038/s41598-019-47160-1,147,Chae,2011,Karenia,lividus,Bacterium,Juveniles,invitro,sediment,N,N,PET,Y,SO3,fragment,2,0.035,0.01798,1.4,Mesocosm,Terrestrial,N,N,8.6,85000,130000,0.125,1000,0.099,0.00012,25000000,35000000,0.05,5200,5,0.3,24000000,pcb,8,co.exp,0.04,N,circulatory.respiratory,chemokines.cytokines,exploration,kidney,organism,Clear,3,12,N,N,N,N,N,N,N,N,N,N,N,-0.903089986991944,0.934498451243568,Y,0.125,Clarias gariepinus,Cnidaria
Jacob,10.1038/srep03263,148,Chapron,2012,Lates,lutea,Cnidaria,Adult,invivo,water,Y,Y,PI,n,COOH,sphere,3,0.036,0.0187,2,Field,Freshwater,Y,Y,10,170000,270000,0.184,1250,100,0.00035,25000000,35000000,0.074,5220,10,0.4,60000000,phenanthrene,10,sorbed,0.083,Y,community,circulatory,f0.fm,kidney.neutrophil,population,Unclear,4,15,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-0.735182176990464,1,N,0.184,Corbicula fluminea,Crustacea
Koelmans,10.1038/srep14119,149,Chen,2013,Lemna,maenas,Crustacea,Early,invitro,food,N,N,PLA,N,NH2,cube,4,0.04,0.02,2.5,Lab,Marine,N,N,11.2,340000,540000,0.19,2500,300,3333.3333333333,25000000,35000000,0.2,156700,0.5,4,93000000,pyrene,18.9,co.exp,0.125,N,fitness,detoxification,f0.fv,leaf,subcell,Clear,5,20,N,N,N,lab,N,N,N,N,N,N,N,-0.721246399047171,1.04921802267018,Y,0.19,Crassostrea gigas,Echinoderm
"Koelmans,Jacob",10.1038/srep41323,150,Choi,2014,Lophelia,magna,Echinoderm,Juveniles,invivo,maternal.transfer,Y,Y,PMMA,Y,SO3,fiber,5,0.0402,0.025,5,Mesocosm,Terrestrial,Y,Y,12.48,680000,1100000,0.2,5000,500,40000,25000000,35000000,0.5,261200,1,10,232500000,triclosan,28.4,sorbed,0.16,Y,immune,development,fabp6.mrnaexpression,liver,tissue,Unclear,6,24,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-0.698970004336019,1.09621458534641,N,0.2,Crepidula onyx,Fish
"Koelmans,Rochman",10.1073/pnas.1519019113,151,Cole,2015,Lumbribulus,margaritifera,Fish,Adult,invitro,sediment,N,N,PP,n,COOH,fragment,1,0.045,0.03,0.004,Field,Freshwater,N,N,14,39000000,25000000000,0.216,10000,496000,100000000,25000000,35000000,0.74,365700,5,30,94,bap,0.0002,co.exp,0.25,N,metabolism,digestion,fadd.mrnaexpression,mantle,cell,Clear,7,1,N,N,N,commercial,N,N,N,N,N,N,N,-0.665546248849069,1.14612803567824,Y,0.216,Cyanobacteria NA,Insect
"Koelmans,Rochman,Jacob",10.1093/mollus/eyx005,152,Cole.Galloway,2016,Lumbricus,marina,Insect,Early,invivo,water,Y,Y,PS,N,NH2,sphere,2,0.05,0.032,0.005,Lab,Marine,Y,Y,16,78000000,50000000000,0.22,20000,1084000,1000000000,25000000,35000000,1,522400,10,70,940,bpa,0.001,sorbed,0.333,Y,microbiome,digestive.enzymes,fas.mrnaexpression,muscle,organism,Unclear,10,2,Y,Y,Y,lab,Y,Y,Y,Y,Y,Y,Y,-0.657577319177794,1.20411998265592,N,0.22,Cyprinodon variegatus,Mollusca
Rochman,10.1126/sciadv.aay4054,1,Critchell.Hoogenboom,2017,Lytechinus,marinus,Mollusca,Juveniles,invitro,food,N,N,PUR,Y,SO3,cube,3,0.051,0.038,0.006,Mesocosm,Terrestrial,N,N,17,1600000000,100000000000,0.23,50000,0.0009,0.000012,25000000,35000000,2,1044800,0.5,0.01,2350,cefalexin,0.002,co.exp,0.5,N,stress,digestive.tract.histo,fatty.vac,plasma,population,Clear,1,3,N,N,N,N,N,N,N,N,N,N,N,-0.638272163982407,1.23044892137827,Y,0.23,Cyprinus carpio,Nematoda
"Rochman,Jacob",10.1371/journal.pone.0032254.g002,2,Cui,2018,Macroalgae,melastigma,Nematoda,Adult,invivo,maternal.transfer,Y,Y,PVC,n,COOH,fiber,4,0.0545,0.04,0.0085,Field,Freshwater,Y,Y,20,3100000000,200000000000,0.25,70000,0.009,0.00002,25000000,35000000,3.8,26800000,1,0.1,110000,chromium,0.01,sorbed,1,Y,alimentary.excretory,diversity,fecundity,root,subcell,Unclear,2,4,Y,Y,Y,commercial,Y,Y,Y,Y,Y,Y,Y,-0.602059991327962,1.30102999566398,N,0.25,Danio rerio,Plant
Jacob,10.1371/journal.pone.0155063,3,Davarpahah.Guilhermino,2019,Microalgae,microps,Plant,Early,invitro,sediment,N,N,BIO,N,NH2,fragment,5,0.055,0.062,0.01,Lab,Marine,N,N,21,6200000000,400000000000,0.26,100000,0.099,0.00012,25000000,35000000,5,500,5,0.3,2400000,copper,0.016,co.exp,2,N,behavioral.sense.neuro,feeding,feeding.activity,serum,tissue,Clear,3,5,N,N,N,lab,N,N,N,N,N,N,N,-0.585026652029182,1.32221929473392,Y,0.26,Daphnia galeata,Rotifera
Koelmans,10.1371/journal.pone.0187664,4,DellaTorre,2020,Microcystis,mikimotoi,Rotifera,Juveniles,invivo,water,Y,Y,EVA,Y,SO3,sphere,1,0.05769,0.063,0.012,Mesocosm,Terrestrial,Y,Y,22.5,12000000000,800000000000,0.368,200000,100,0.00035,25000000,35000000,7,2600,10,0.4,9300000,ee2,0.02,sorbed,3,Y,circulatory.respiratory,firmicutes,feeding.rate,whole.body,cell,Unclear,4,6,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,-0.434152181326482,1.35218251811136,N,0.368,Daphnia magna,(Missing)
