"DOI","Authors","Publication Year","Species","Life Stage","Size Category","Broad Endpoint Category","Specific Endpoint Category","Endpoint","Concentration (Particles/mL)","Concentration (µg/mL)","Effect Detected?"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",1,1.48e-05,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",10,0.00014844,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","MXR Efflux",1,1.48e-05,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","MXR Efflux",10,0.00014844,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcd mRNA expression",1,1.48e-05,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcd mRNA expression",10,0.00014844,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",1,1.48e-05,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",10,0.00014844,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","MXR Efflux",1,0.050098585,"No"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","MXR Efflux",10,0.500985853,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcd mRNA expression",1,0.050098585,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcd mRNA expression",10,0.500985853,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",1,0.050098585,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",10,0.500985853,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","MXR Efflux",1,0.050098585,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","MXR Efflux",10,0.500985853,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcd mRNA expression",1,0.050098585,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcd mRNA expression",10,0.500985853,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",1,0.050098585,"Yes"
"10.1016/j.cbpc.2019.02.005","Franzellitti",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","abcc mRNA expression",10,0.500985853,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",1994.756138,10,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",9973.780692,50,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",19947.56138,100,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",99737.80692,500,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",199475.6138,1000,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",997378.0692,5000,"Yes"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",163.4104229,10,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",817.0521143,50,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",1634.104229,100,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",8170.521143,500,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",16341.04229,1000,"No"
"10.1007/s00128-017-2186-3","Frydkejar",2017,"Daphnia magna","Adult","1µm < 100µm","Fitness","Mortality","Immobilization",81705.21143,5000,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Fitness","Mortality","Mortality",350.7779287,0.001,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Fitness","Mortality","Mortality",3507.779287,0.01,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Fitness","Mortality","Mortality",35077.79287,0.1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Fitness","Mortality","Mortality",350777.9287,1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Fitness","Mortality","Mortality",3507779.287,10,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",350.7779287,0.001,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",3507.779287,0.01,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",35077.79287,0.1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",350777.9287,1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",3507779.287,10,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",350.7779287,0.001,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",3507.779287,0.01,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",35077.79287,0.1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",350777.9287,1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",350.7779287,0.001,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",3507.779287,0.01,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",35077.79287,0.1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",350777.9287,1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",350.7779287,0.001,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",3507.779287,0.01,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",35077.79287,0.1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Amphibalanus amphitrite","Early","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",350777.9287,1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Fitness","Mortality","Mortality",350.7779287,0.001,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Fitness","Mortality","Mortality",3507.779287,0.01,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Fitness","Mortality","Mortality",35077.79287,0.1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Fitness","Mortality","Mortality",350777.9287,1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Fitness","Mortality","Mortality",3507779.287,10,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",350.7779287,0.001,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",3507.779287,0.01,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",35077.79287,0.1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",350777.9287,1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Locomotion","Swim Speed",3507779.287,10,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",350.7779287,0.001,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",3507.779287,0.01,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",35077.79287,0.1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","AcHE Activity",350777.9287,1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",350.7779287,0.001,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",3507.779287,0.01,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",35077.79287,0.1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Behavioral, Sensory, Neurological","Nervous System","Pseudocholinesterase Activity",350777.9287,1,"No"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",350.7779287,0.001,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",3507.779287,0.01,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",35077.79287,0.1,"Yes"
"10.1016/j.ecoenv.2017.07.036","Gambardella",2017,"Artemia franciscana","Juvenile","100nm < 1µm","Metabolism","Oxidative Stress","Catalase Activity",350777.9287,1,"Yes"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Behavioral, Sensory, Neurological","Feeding","Ingestion Rate",0.32,0.00025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Behavioral, Sensory, Neurological","Feeding","Ingestion Rate",3.2,0.0025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Behavioral, Sensory, Neurological","Feeding","Ingestion Rate",32,0.025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Circulatory, Respiratory","Respiration","Respiration Rate",0.32,0.00025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Circulatory, Respiratory","Respiration","Respiration Rate",3.2,0.0025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Circulatory, Respiratory","Respiration","Respiration Rate",32,0.025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Assimilation Efficiency",0.32,0.00025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Assimilation Efficiency",3.2,0.0025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Assimilation Efficiency",32,0.025,"Yes"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Energy Balance",0.32,0.00025,"Yes"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Energy Balance",3.2,0.0025,"Yes"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Metabolism","General Metabolism","Energy Balance",32,0.025,"Yes"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Body Condition","Shell Growth",0.32,0.00025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Body Condition","Shell Growth",3.2,0.0025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Body Condition","Shell Growth",32,0.025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Reproduction","Gonad Development Index",0.32,0.00025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Reproduction","Gonad Development Index",3.2,0.0025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Reproduction","Gonad Development Index",32,0.025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Reproduction","Gonad Regression",0.32,0.00025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Reproduction","Gonad Regression",3.2,0.0025,"No"
"10.1021/acs.est.8b00168","Gardon",2018,"Pinctada margaritifera","Adult","1µm < 100µm","Fitness","Reproduction","Gonad Regression",32,0.025,"No"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",92.06519453,0.1,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",920.6519453,1,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",9206.519453,10,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",92065.19453,100,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",920651.9453,1000,"Yes"
"10.1038/s41598-019-47160-1","Gerdes",2019,"Daphnia magna","Early","1µm < 100µm","Fitness","Mortality","Mortality",9206519.453,10000,"Yes"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,4.48e-05,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.004482006,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,4.48e-05,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.004482006,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,4.48e-05,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.004482006,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,4.48e-05,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.004482006,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Alimentary, Excretory","Digestive Tract Histological Abnormalities","Digestive Tract Histology",1000,0.070031336,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,0.001210141,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.121014149,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Alimentary, Excretory","Digestive Tract Histological Abnormalities","Digestive Tract Histology",1000,0.23635576,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,0.005602507,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.56025069,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,0.005602507,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.56025069,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",10,0.005602507,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Oxidative Stress","Lipid Peroxidation",1000,0.56025069,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",10,0.005602507,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Metabolism","Detoxification","Glutathione S-Transferase Activity",1000,0.56025069,"No"
"10.1016/j.envpol.2018.11.038","Goncalves",2019,"Mytilus galloprovincialis","Adult","1µm < 100µm","Alimentary, Excretory","Digestive Tract Histological Abnormalities","Digestive Tract Histology",1000,0.56025069,"No"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,0.756338431,"No"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,0.144056684,"No"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,0.243095654,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,1.049504658,"No"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,5.02731702,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,11.81778799,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,13.99634099,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,2.948122382,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","1µm < 100µm","Fitness","Mortality","Mortality",50,4.97495652,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","100µm < 1mm","Fitness","Mortality","Mortality",50,38.20799121,"Yes"
"10.1002/etc.3881","Gray & Weinstein",2017,"Palaemonetes pugio","Adult","100µm < 1mm","Fitness","Mortality","Mortality",50,109.9593263,"No"
"10.1002/etc.3501","Greven",2016,"Pimephales promelas","Adult","1µm < 100µm","Immune","Immune Cells","Degranulation",43711789.48,25,"No"
"10.1002/etc.3501","Greven",2016,"Pimephales promelas","Adult","1µm < 100µm","Immune","Immune Cells","Degranulation",87423578.97,50,"No"
"10.1002/etc.3501","Greven",2016,"Pimephales promelas","Adult","1µm < 100µm","Immune","Immune Cells","Degranulation",174847157.9,100,"Yes"
"10.1002/etc.3501","Greven",2016,"Pimephales promelas","Adult","1µm < 100µm","Immune","Immune Cells","Degranulation",349694315.9,200,"Yes"
"10.1002/etc.3501","Greven",2016,"Pimephales promelas","Adult","1µm < 100µm","Immune","Immune Cells","Respiratory Burst",43711789.48,25,"No"
"10.1002/etc.3501","Greven",2016,"Pimephales promelas","Adult","1µm < 100µm","Immune","Immune Cells","Respiratory Burst",87423578.97,50,"No"
